,name,type,color,_igraph_index,id
636,40640,True,blue,7246,7246
637,41415,True,blue,7260,7260
638,41780,True,blue,7271,7271
639,41978,True,blue,7273,7273
640,41979,True,blue,7274,7274
641,42165,True,blue,7277,7277
642,42332,True,blue,7279,7279
643,42489,True,blue,7285,7285
644,43501,True,blue,7316,7316
645,43689,True,blue,7320,7320
646,44417,True,blue,7347,7347
647,4559,True,blue,7380,7380
648,45765,True,blue,7384,7384
649,47286,True,blue,7420,7420
650,47523,True,blue,7424,7424
651,47622,True,blue,7426,7426
652,48109,True,blue,7438,7438
653,48481,True,blue,7444,7444
654,48523,True,blue,7445,7445
655,48669,True,blue,7448,7448
656,4925,True,blue,7458,7458
657,50501,True,blue,7474,7474
658,5199,True,blue,7501,7501
659,54145,True,blue,7571,7571
660,54667,True,blue,7591,7591
661,54668,True,blue,7592,7592
662,54882,True,blue,7595,7595
663,55503,True,blue,7611,7611
664,56112,True,blue,7631,7631
665,56858,True,blue,7657,7657
666,57011,True,blue,7660,7660
667,57163,True,blue,7665,7665
668,57429,True,blue,7677,7677
669,57505,True,blue,7682,7682
670,57615,True,blue,7687,7687
671,58097,True,blue,7701,7701
672,58635,True,blue,7724,7724
673,58696,True,blue,7727,7727
674,58820,True,blue,7731,7731
675,59193,True,blue,7740,7740
676,60233,True,blue,7776,7776
677,60281,True,blue,7777,7777
678,61524,True,blue,7802,7802
679,61535,True,blue,7803,7803
680,63723,True,blue,7872,7872
681,66012,True,blue,7919,7919
682,67213,True,blue,7949,7949
683,67322,True,blue,7954,7954
684,67450,True,blue,7955,7955
685,68688,True,blue,7997,7997
686,69061,True,blue,8005,8005
687,6934,True,blue,8011,8011
688,69968,True,blue,8049,8049
689,7022,True,blue,8059,8059
690,71265,True,blue,8104,8104
691,71795,True,blue,8125,8125
692,72905,True,blue,8164,8164
693,74208,True,blue,8203,8203
694,74822,True,blue,8223,8223
695,75713,True,blue,8243,8243
696,77039,True,blue,8266,8266
697,8068,True,blue,8383,8383
698,8614,True,blue,8523,8523
699,87687,True,blue,8576,8576
700,90163,True,blue,8693,8693
701,9110,True,blue,8726,8726
