ID,Campaign Content - Content → Campaign ID,Campaign Campaign - Campaign → Advertiser ID,Media App Media - Media → Publisher ID
2889083,40249,35306,57615
2889063,40249,35306,54667
2889185,40249,35306,94037
2889178,40249,35306,92809
2889070,40249,35306,55503
2889006,40249,35306,30438
2889144,40249,35306,63723
2889027,40249,35306,28936
2889089,40249,35306,58443
2889150,40249,35306,80959
2889011,40249,35306,26410
2889065,40249,35306,54668
2888977,40249,35306,15986
2889105,40249,35306,101304
2888987,40249,35306,25809
2889181,40249,35306,94123
2889020,40249,35306,28365
2889099,40249,35306,59618
2889019,40249,35306,30268
2889129,40249,35306,70070
2889002,40249,35306,29334
2888976,40249,35306,5999
2889142,40249,35306,73747
2889026,40249,35306,31679
2888997,40249,35306,24820
2889131,40249,35306,71795
2889040,40249,35306,46170
2889159,40249,35306,85088
2889111,40249,35306,74822
2889024,40249,35306,20836
2889018,40249,35306,24650
2889183,40249,35306,93656
2889077,40249,35306,56858
2888967,40249,35306,7022
2889122,40249,35306,68717
2889209,40249,35306,96360
2889134,40249,35306,71795
2888984,40249,35306,4925
2888972,40249,35306,19053
2889179,40249,35306,93008
2889080,40249,35306,57162
2889073,40249,35306,55503
2889177,40249,35306,92605
2889170,40249,35306,90041
2889157,40249,35306,102008
2889210,40249,35306,94037
2889045,40249,35306,26052
2889023,40249,35306,27772
2889199,40249,35306,94068
2889136,40249,35306,74495
2889103,40249,35306,60281
2889037,40249,35306,32109
2889101,40249,35306,59966
2889095,40249,35306,20836
2889114,40249,35306,65520
2889174,40249,35306,92488
2889086,40249,35306,59725
2889100,40249,35306,59618
2889054,40249,35306,40455
2889145,40249,35306,57429
2889186,40249,35306,94068
2888983,40249,35306,15987
2889046,40249,35306,13031
2889056,40249,35306,30445
2889076,40249,35306,56845
2889141,40249,35306,61769
2889184,40249,35306,75517
2889074,40249,35306,56360
2889106,40249,35306,57303
2889008,40249,35306,24798
2889007,40249,35306,28920
2889091,40249,35306,58820
2889197,40249,35306,95018
2889096,40249,35306,54623
2889148,40249,35306,102008
2888970,40249,35306,4559
2889143,40249,35306,63723
2888982,40249,35306,15976
2888996,40249,35306,28055
2889112,40249,35306,74822
2889188,40249,35306,94119
2889052,40249,35306,42332
2889195,40249,35306,94218
2888991,40249,35306,16571
2889042,40249,35306,32206
2889163,40249,35306,89792
2889175,40249,35306,33649
2889044,40249,35306,26052
2888988,40249,35306,7022
2889075,40249,35306,56790
2889202,40249,35306,94068
2889107,40249,35306,67450
2889182,40249,35306,93324
2889102,40249,35306,30307
2889072,40249,35306,54695
2888973,40249,35306,13363
2889030,40249,35306,31679
2889079,40249,35306,57011
2889051,40249,35306,47622
2889036,40249,35306,36009
2889033,40249,35306,32070
2889029,40249,35306,32324
2889138,40249,35306,102008
2889160,40249,35306,74208
2889155,40249,35306,83814
2889003,40249,35306,29334
2889061,40249,35306,54667
2888985,40249,35306,21869
2889191,40249,35306,94124
2889069,40249,35306,55595
2889162,40249,35306,89041
2889132,40249,35306,70552
2889084,40249,35306,57505
2889055,40249,35306,29067
2889172,40249,35306,91834
2889133,40249,35306,60281
2889169,40249,35306,91088
2889146,40249,35306,56060
2889190,40249,35306,94123
2889204,40249,35306,95437
2889085,40249,35306,41978
2889116,40249,35306,67154
2889153,40249,35306,55503
2889047,40249,35306,49793
2889207,40249,35306,95911
2889010,40249,35306,29067
2889117,40249,35306,67213
2889059,40249,35306,51688
2888999,40249,35306,25376
2889001,40249,35306,24699
2889081,40249,35306,9483
2889004,40249,35306,26233
2888998,40249,35306,24414
2889200,40249,35306,73747
2889062,40249,35306,54667
2888979,40249,35306,192
2889090,40249,35306,51687
2889038,40249,35306,61769
